player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points,now_cost,selected_by_percent
23,2050499,Anders,Klynge,Klynge,,2,4,Bodø/Glimt,B/G,3,MID,u,Overgang til Jagiellonia Białystok,153,1,0,1,2,0,0,0,0,0,0,0,0.000000,13,55,0.0
24,4082898,Gift,Sunday,Sunday,,2,4,Bodø/Glimt,B/G,3,MID,u,På lån til FC KTP,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,50,0.0
25,1579765,August,Mikkelsen,Mikkelsen,,2,4,Bodø/Glimt,B/G,3,MID,d,Lyske - Forventet tilbake 25. oktober,6,0,0,0,0,0,0,0,0,0,0,0,0.000000,1,55,0.0
26,1711450,Martin,Hellan,Hellan,,11,195,Sandefjord,SAN,2,DEF,a,,130,0,0,0,3,0,0,0,0,0,0,0,0.000000,5,43,0.2
27,1787724,Rasmus,Holten,Holten,,11,195,Sandefjord,SAN,2,DEF,a,,673,1,0,1,11,0,0,0,1,0,0,2,0.000000,27,44,0.4
28,1565712,Fredrik,Pallesen Knudsen,Pallesen,,3,298,Brann,BRA,2,DEF,a,,1338,0,0,2,24,0,0,0,1,0,0,0,0.000000,31,48,3.3
29,113596,Joachim,Soltvedt,Soltvedt,,3,298,Brann,BRA,2,DEF,a,,1367,4,4,3,23,0,0,1,1,0,0,6,0.000000,76,62,26.7
30,1807281,Jonas,Torsvik,Torsvik,,3,298,Brann,BRA,2,DEF,i,Ankel - Forventet tilbake 11. oktober,47,0,0,0,2,0,0,0,0,0,0,0,0.000000,4,49,0.0
31,114647,Bård,Finne,Finne,,3,298,Brann,BRA,4,FWD,a,,522,4,2,0,11,0,0,0,0,0,0,4,0.000000,45,63,9.6
32,306458,Mathias,Dyngeland,Dyngeland,,3,298,Brann,BRA,1,GK,a,,990,0,0,2,17,0,0,0,1,0,34,0,0.000000,32,50,8.4
33,1622520,Simen,Vidtun Nilsen,Vidtun Nilsen,,3,298,Brann,BRA,1,GK,a,,630,0,0,1,10,0,0,0,0,0,17,0,0.000000,18,41,0.8
34,1887100,Mathias,Klausen,Klausen,,3,298,Brann,BRA,1,GK,u,På lån til Åsane,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.1
35,1564737,Niklas,Castro,Castro,,3,298,Brann,BRA,3,MID,a,,416,2,2,2,6,0,0,0,3,0,0,6,0.000000,31,82,7.5
36,1771907,Markus,Haaland,Haaland,,3,298,Brann,BRA,3,MID,u,På lån til Häcken,267,2,0,0,5,0,0,0,0,0,0,0,0.000000,20,57,0.5
37,1608592,Felix,Horn Myhre,Horn Myhre,,3,298,Brann,BRA,3,MID,u,Overgang til West Bromwich,1350,2,3,1,25,0,0,0,2,0,0,11,0.000000,59,72,16.6
